subsystem|bucket|file|line|size_expr|hint|code
bgp/rib|C|internal/component/bgp/rib/update.go|88|totalLen|variable (totalLen)|buf := make([]byte, totalLen)
bgp/rib|A|internal/component/bgp/rib/commit.go|434|12|literal 12|nhBytes = make([]byte, 12)
bgp/rib|A|internal/component/bgp/rib/commit.go|439|24|literal 24|nhBytes = make([]byte, 24)
bgp/rib|A|internal/component/bgp/rib/route.go|339|0, 128|byte-builder capacity hint (0, 128)|buf := make([]byte, 0, 128)
bgp/transaction|C|internal/component/bgp/transaction/commit_manager.go|92|3+nlriLen|variable (3+nlriLen)|buf := make([]byte, 3+nlriLen)
bgp/wire|C|internal/component/bgp/wire/writer.go|54|size|variable (size)|buf: make([]byte, size),
bgp/wire|C|internal/component/bgp/wire/writer.go|161|targetSize|variable (targetSize)|newBuf := make([]byte, targetSize)
bgp/wireu|C|internal/component/bgp/wireu/extract.go|256|0, len(packed|builder cap variable (len(packed)|result := make([]byte, 0, len(packed))
bgp/wireu|C|internal/component/bgp/wireu/prefix.go|28|addrSize|variable (addrSize)|addrBytes := make([]byte, addrSize)
bgp/wireu|C|internal/component/bgp/wireu/split.go|416|headerLen+valueLen|variable (headerLen+valueLen)|buf := make([]byte, headerLen+valueLen)
bgp/wireu|C|internal/component/bgp/wireu/split.go|452|2+wLen+2+aLen+len(ipv4NLRI|variable (2+wLen+2+aLen+len(ipv4NLRI)|buf := make([]byte, 2+wLen+2+aLen+len(ipv4NLRI))
l2tp|C|internal/component/l2tp/pppox_linux.go|109|size|variable (size)|buf := make([]byte, size)
l2tp|C|internal/component/l2tp/reliable.go|311|length|variable (length)|bytes := make([]byte, length)
l2tp|C|internal/component/l2tp/reliable_reorder.go|61|len(payload|variable (len(payload)|buf := make([]byte, len(payload))
l2tp|B|internal/component/l2tp/genl_linux.go|218|pad|padding bytes <=3|buf = append(buf, make([]byte, pad)...)
l2tp|A|internal/component/l2tp/auth.go|47|total|named constant total|in = make([]byte, total)
l2tp|A|internal/component/l2tp/genl_linux.go|211|4|literal 4|hdr := make([]byte, 4)
l2tp|A|internal/component/l2tp/hidden.go|128|total|named constant total|in = make([]byte, total)
l2tp|A|internal/component/l2tp/hidden.go|144|total|named constant total|in = make([]byte, total)
l2tp|A|internal/component/l2tp/listener.go|234|rxPoolSize*rxBufLen|pool backing (rxPoolSize*rxBufLen)|backing := make([]byte, rxPoolSize*rxBufLen)
l2tp|A|internal/component/l2tp/pool.go|16|BufSize|pool constructor (file=pool.go)|b := make([]byte, BufSize)
l2tp|A|internal/component/l2tp/tunnel_fsm.go|177|16|literal 16|ours := make([]byte, 16)
plugin-ipc|A|internal/component/plugin/ipc/tls.go|211|0, 256|builder cap (256)|buf := make([]byte, 0, 256)
plugin-ipc|A|internal/component/plugin/ipc/tls.go|212|1|literal 1|b := make([]byte, 1)
plugin-rpc|C|pkg/plugin/rpc/framing.go|41|len(msg|variable (len(msg)|result := make([]byte, len(msg))
plugin-rpc|C|pkg/plugin/rpc/framing.go|76|len(msg|variable (len(msg)|buf := make([]byte, len(msg)+1)
plugin-rpc|C|pkg/plugin/rpc/message.go|102|0, 2+20+1+len(method|builder cap variable (2+20+1+len(method)|buf := make([]byte, 0, 2+20+1+len(method)+1+len(params))
plugin-rpc|C|pkg/plugin/rpc/message.go|117|0, 2+20+4+len(result|builder cap variable (2+20+4+len(result)|buf := make([]byte, 0, 2+20+4+len(result))
plugin-rpc|C|pkg/plugin/rpc/message.go|127|0, 2+20+3|builder cap variable (2+20+3)|buf := make([]byte, 0, 2+20+3)
plugin-rpc|C|pkg/plugin/rpc/message.go|137|0, 2+20+6|builder cap variable (2+20+6)|buf := make([]byte, 0, 2+20+6)
plugin-rpc|C|pkg/plugin/rpc/message.go|143|0, 2+20+7+len(errPayload|builder cap variable (2+20+7+len(errPayload)|buf := make([]byte, 0, 2+20+7+len(errPayload))
plugin-rpc|A|pkg/plugin/rpc/batch.go|23|0, 4096|builder cap (4096)|buf := make([]byte, 0, 4096)
plugin-rpc|A|pkg/plugin/rpc/batch.go|36|0, 4096|builder cap (4096)|b := make([]byte, 0, 4096)
plugin-rpc|A|pkg/plugin/rpc/framing.go|30|initialBufSize|named constant initialBufSize|scanner.Buffer(make([]byte, initialBufSize), MaxMessageSize+1)
ppp|C|internal/component/ppp/lcp_options.go|264|2+len(o.AuthData|variable (2+len(o.AuthData)|d := make([]byte, 2+len(o.AuthData))
ppp|C|internal/component/ppp/session_run.go|575|4+len(pkt.Data|variable (4+len(pkt.Data)|sample := make([]byte, 4+len(pkt.Data))
ppp|C|internal/component/ppp/session_run.go|696|lcpHeaderLen+len(req.Data|variable (lcpHeaderLen+len(req.Data)|body := make([]byte, lcpHeaderLen+len(req.Data))
ppp|A|internal/component/ppp/lcp_options.go|149|2|literal 2|suggest := make([]byte, 2)
ppp|A|internal/component/ppp/lcp_options.go|156|2|literal 2|suggest := make([]byte, 2)
ppp|A|internal/component/ppp/lcp_options.go|259|2|literal 2|d := make([]byte, 2)
ppp|A|internal/component/ppp/lcp_options.go|270|4|literal 4|d := make([]byte, 4)
ppp|A|internal/component/ppp/lcp_options.go|275|4|literal 4|d := make([]byte, 4)
ppp|A|internal/component/ppp/session_run.go|50|MaxFrameLen|named constant MaxFrameLen|b := make([]byte, MaxFrameLen)
tacacs|C|internal/component/tacacs/acct.go|63|9+argCount+varLen|composite uint8-length fields (9+argCount+varLen)|body := make([]byte, 9+argCount+varLen)
tacacs|C|internal/component/tacacs/acct.go|120|dataLen|composite uint8-length fields (dataLen)|replyData := make([]byte, dataLen)
tacacs|C|internal/component/tacacs/authen.go|61|8+userLen+portLen+remLen+dataLen|composite uint8-length fields (8+userLen+portLen+remLen+dataLen)|body := make([]byte, 8+userLen+portLen+remLen+dataLen)
tacacs|C|internal/component/tacacs/authen.go|116|dataLen|composite uint8-length fields (dataLen)|replyData := make([]byte, dataLen)
tacacs|C|internal/component/tacacs/author.go|62|8+argCount+varLen|composite uint8-length fields (8+argCount+varLen)|body := make([]byte, 8+argCount+varLen)
tacacs|C|internal/component/tacacs/author.go|136|dataLen|composite uint8-length fields (dataLen)|respData := make([]byte, dataLen)
tacacs|C|internal/component/tacacs/packet.go|175|hdrLen+len(p.Body|variable (hdrLen+len(p.Body)|wire := make([]byte, hdrLen+len(p.Body))
tacacs|C|internal/component/tacacs/packet.go|197|bodyLen|variable (bodyLen)|body := make([]byte, bodyLen)
tacacs|A|internal/component/tacacs/packet.go|57|hdrLen|named constant hdrLen|buf := make([]byte, hdrLen)
tacacs|A|internal/component/tacacs/packet.go|105|inputLen|named constant inputLen|input := make([]byte, inputLen)
tacacs|A|internal/component/tacacs/pool.go|49|size|pool constructor (file=pool.go)|b := make([]byte, size)
tacacs|A|internal/component/tacacs/pool.go|55|size|pool constructor (file=pool.go)|b := make([]byte, size)
tacacs|A|internal/component/tacacs/pool.go|69|poolBufSize|named constant poolBufSize|b := make([]byte, poolBufSize)
